slno,vehicle_type,brand,model,engine_type,make_year,region,mileage_range,mileage,oil_filter,engine_oil,washer_plug_drain,dust_and_pollen_filter,whell_alignment_and_balancing,air_clean_filter,fuel_filter,spark_plug,brake_fluid,brake_and_clutch_oil,transmission_fluid,brake_pads,clutch,coolant,cost
1,car,honda,jazz,petrol,2017,chennai,10000,11400,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2566
2,car,honda,jazz,petrol,2017,chennai,10000,11453,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2633
3,car,honda,jazz,petrol,2017,chennai,10000,10706,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2643
4,car,honda,jazz,petrol,2017,chennai,10000,11015,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2532
5,car,honda,jazz,petrol,2017,chennai,10000,10039,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2489
6,car,honda,jazz,petrol,2017,chennai,10000,10348,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2578
7,car,honda,jazz,petrol,2017,chennai,10000,10936,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2631
8,car,honda,jazz,petrol,2017,chennai,10000,10355,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2639
9,car,honda,jazz,petrol,2017,chennai,10000,11028,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2703
10,car,honda,jazz,petrol,2017,chennai,10000,10843,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2539
11,car,honda,jazz,petrol,2017,chennai,10000,10686,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2597
12,car,honda,jazz,petrol,2017,chennai,10000,10573,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2583
13,car,honda,jazz,petrol,2017,chennai,10000,10992,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2633
14,car,honda,jazz,petrol,2017,chennai,10000,10376,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2643
15,car,honda,jazz,petrol,2017,chennai,10000,11009,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2532
16,car,honda,jazz,petrol,2017,chennai,10000,10048,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2489
17,car,honda,jazz,petrol,2017,chennai,10000,10623,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2578
18,car,honda,jazz,petrol,2017,chennai,10000,10832,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2631
19,car,honda,jazz,petrol,2017,chennai,10000,11034,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2639
20,car,honda,jazz,petrol,2017,chennai,10000,10228,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2703
21,car,honda,jazz,petrol,2017,chennai,20000,20679,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3336
22,car,honda,jazz,petrol,2017,chennai,20000,20797,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3418
23,car,honda,jazz,petrol,2017,chennai,20000,19646,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3276
24,car,honda,jazz,petrol,2017,chennai,20000,20566,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3134
25,car,honda,jazz,petrol,2017,chennai,20000,20478,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3489
26,car,honda,jazz,petrol,2017,chennai,20000,20787,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3578
27,car,honda,jazz,petrol,2017,chennai,20000,19899,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3248
28,car,honda,jazz,petrol,2017,chennai,20000,20575,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3682
29,car,honda,jazz,petrol,2017,chennai,20000,21587,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3418
30,car,honda,jazz,petrol,2017,chennai,20000,20689,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3276
31,car,honda,jazz,petrol,2017,chennai,20000,20464,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3134
32,car,honda,jazz,petrol,2017,chennai,20000,21567,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3583
33,car,honda,jazz,petrol,2017,chennai,20000,22769,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3365
34,car,honda,jazz,petrol,2017,chennai,20000,20312,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3478
35,car,honda,jazz,petrol,2017,chennai,20000,20453,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3336
36,car,honda,jazz,petrol,2017,chennai,20000,20564,1,1,1,1,0,1,0,0,0,0,0,0,0,0,3418
37,car,honda,jazz,petrol,2017,chennai,20000,20644,1,1,1,1,0,1,0,0,0,0,0,0,0,0,3276
38,car,honda,jazz,petrol,2017,chennai,20000,20768,1,1,1,1,1,1,0,0,0,0,0,0,0,0,3134
39,car,honda,jazz,petrol,2017,chennai,20000,20543,1,1,1,1,0,1,0,0,0,0,0,0,0,0,3215
40,car,honda,jazz,petrol,2017,chennai,20000,21056,1,1,1,1,0,1,0,0,0,0,0,0,0,0,8714
41,car,honda,jazz,petrol,2017,chennai,30000,30239,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3143
42,car,honda,jazz,petrol,2017,chennai,30000,30231,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3273
43,car,honda,jazz,petrol,2017,chennai,30000,30783,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3489
44,car,honda,jazz,petrol,2017,chennai,30000,30463,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3323
45,car,honda,jazz,petrol,2017,chennai,30000,30463,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3422
46,car,honda,jazz,petrol,2017,chennai,30000,29625,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3232
47,car,honda,jazz,petrol,2017,chennai,30000,31833,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3136
48,car,honda,jazz,petrol,2017,chennai,30000,30172,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3193
49,car,honda,jazz,petrol,2017,chennai,30000,30132,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3344
50,car,honda,jazz,petrol,2017,chennai,30000,29234,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3474
51,car,honda,jazz,petrol,2017,chennai,30000,30541,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3750
52,car,honda,jazz,petrol,2017,chennai,30000,29689,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3523
53,car,honda,jazz,petrol,2017,chennai,30000,30545,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3263
54,car,honda,jazz,petrol,2017,chennai,30000,30432,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3283
55,car,honda,jazz,petrol,2017,chennai,30000,30679,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3384
56,car,honda,jazz,petrol,2017,chennai,30000,30765,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3680
57,car,honda,jazz,petrol,2017,chennai,30000,30758,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4342
58,car,honda,jazz,petrol,2017,chennai,30000,31234,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5342
59,car,honda,jazz,petrol,2017,chennai,30000,30272,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4434
60,car,honda,jazz,petrol,2017,chennai,30000,30137,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4343
61,car,honda,jazz,petrol,2017,chennai,40000,40231,1,1,1,1,0,0,0,1,0,0,0,0,0,1,4422
62,car,honda,jazz,petrol,2017,chennai,40000,40532,1,1,1,1,0,0,0,1,0,0,0,0,0,1,4372
63,car,honda,jazz,petrol,2017,chennai,40000,39163,1,1,1,1,0,0,0,1,0,0,0,0,0,1,4457
64,car,honda,jazz,petrol,2017,chennai,40000,40328,1,1,1,1,0,0,0,1,0,0,0,0,0,1,4322
65,car,honda,jazz,petrol,2017,chennai,40000,40368,1,1,1,1,0,0,0,1,0,0,0,0,0,1,4273
66,car,honda,jazz,petrol,2017,chennai,40000,39175,1,1,1,1,0,0,0,1,0,0,0,0,0,1,4282
67,car,honda,jazz,petrol,2017,chennai,40000,40613,1,1,1,1,0,0,0,1,0,0,0,0,0,1,4274
68,car,honda,jazz,petrol,2017,chennai,40000,40293,1,1,1,1,0,0,0,1,0,0,0,0,0,1,4272
69,car,honda,jazz,petrol,2017,chennai,40000,40733,1,1,1,1,0,0,0,1,0,0,0,0,0,1,4548
70,car,honda,jazz,petrol,2017,chennai,40000,41382,1,1,1,1,0,0,0,1,0,0,0,0,0,1,4482
71,car,honda,jazz,petrol,2017,chennai,40000,40289,1,1,1,1,0,0,0,1,0,0,0,0,0,1,4372
72,car,honda,jazz,petrol,2017,chennai,40000,39236,1,1,1,1,0,0,0,1,0,0,0,0,0,1,4273
73,car,honda,jazz,petrol,2017,chennai,40000,40722,1,1,1,1,0,0,0,1,0,0,0,0,0,1,4373
74,car,honda,jazz,petrol,2017,chennai,40000,42232,1,1,1,1,0,0,0,1,0,0,0,0,0,1,4874
75,car,honda,jazz,petrol,2017,chennai,40000,40724,1,1,1,1,0,0,0,1,0,0,0,0,0,1,4836
76,car,honda,jazz,petrol,2017,chennai,40000,40283,1,1,1,1,0,0,0,1,0,0,0,0,0,1,4723
77,car,honda,jazz,petrol,2017,chennai,40000,39328,1,1,1,1,0,0,0,1,0,0,0,0,0,1,4792
78,car,honda,jazz,petrol,2017,chennai,40000,41238,1,1,1,1,0,0,0,1,0,0,0,0,0,1,5292
79,car,honda,jazz,petrol,2017,chennai,40000,40278,1,1,1,1,0,0,0,1,0,0,0,0,0,1,5123
80,car,honda,jazz,petrol,2017,chennai,40000,40243,1,1,1,1,0,0,0,1,0,0,0,0,0,1,5163
81,car,honda,jazz,petrol,2017,chennai,50000,50234,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3312
82,car,honda,jazz,petrol,2017,chennai,50000,50722,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3464
83,car,honda,jazz,petrol,2017,chennai,50000,50236,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3253
84,car,honda,jazz,petrol,2017,chennai,50000,50673,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3323
85,car,honda,jazz,petrol,2017,chennai,50000,50892,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3422
86,car,honda,jazz,petrol,2017,chennai,50000,51427,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3232
87,car,honda,jazz,petrol,2017,chennai,50000,50237,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3136
88,car,honda,jazz,petrol,2017,chennai,50000,49622,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3193
89,car,honda,jazz,petrol,2017,chennai,50000,49263,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3344
90,car,honda,jazz,petrol,2017,chennai,50000,50268,1,1,1,0,0,0,0,0,0,0,0,1,0,1,3474
91,car,honda,jazz,petrol,2017,chennai,50000,51452,1,1,1,0,0,0,0,0,1,0,0,1,0,1,3364
92,car,honda,jazz,petrol,2017,chennai,50000,50823,1,1,1,0,0,0,0,0,1,0,1,1,0,1,3231
93,car,honda,jazz,petrol,2017,chennai,50000,50179,1,1,1,0,0,0,0,0,1,0,1,1,0,1,3532
94,car,honda,jazz,petrol,2017,chennai,50000,51102,1,1,1,0,0,1,0,0,0,0,0,1,0,0,3689
95,car,honda,jazz,petrol,2017,chennai,50000,51324,1,1,1,0,0,1,0,0,0,0,0,1,0,0,3730
96,car,honda,jazz,petrol,2017,chennai,50000,50822,1,1,1,0,0,1,0,0,0,0,1,1,0,0,3647
97,car,honda,jazz,petrol,2017,chennai,50000,50264,1,1,1,0,1,1,0,0,1,0,0,1,0,0,4123
98,car,honda,jazz,petrol,2017,chennai,50000,50012,1,1,1,0,1,0,0,0,1,0,0,1,0,0,4202
99,car,honda,jazz,petrol,2017,chennai,50000,50272,1,1,1,0,0,0,0,1,0,0,1,1,0,0,4822
100,car,honda,jazz,petrol,2017,chennai,50000,50327,1,1,1,0,1,0,0,1,0,0,0,1,0,0,4037
101,car,honda,jazz,petrol,2017,chennai,60000,60272,1,1,1,1,0,1,0,0,1,0,1,1,0,0,6135
102,car,honda,jazz,petrol,2017,chennai,60000,60347,1,1,1,1,0,1,0,0,1,0,1,1,0,0,6234
103,car,honda,jazz,petrol,2017,chennai,60000,60322,1,1,1,1,0,1,1,0,1,0,1,1,0,0,6163
104,car,honda,jazz,petrol,2017,chennai,60000,60347,1,1,1,1,0,1,1,0,1,0,1,1,0,0,6237
105,car,honda,jazz,petrol,2017,chennai,60000,60839,1,1,1,1,0,1,1,0,1,0,1,1,0,0,6088
106,car,honda,jazz,petrol,2017,chennai,60000,60321,1,1,1,1,0,1,1,0,1,0,1,1,0,0,6143
107,car,honda,jazz,petrol,2017,chennai,60000,61733,1,1,1,1,0,1,1,0,1,0,1,1,0,0,6228
108,car,honda,jazz,petrol,2017,chennai,60000,60977,1,1,1,1,0,1,1,0,1,0,1,1,0,0,6292
109,car,honda,jazz,petrol,2017,chennai,60000,60632,1,1,1,1,0,1,1,0,1,0,1,1,0,0,6183
110,car,honda,jazz,petrol,2017,chennai,60000,60872,1,1,1,1,0,1,1,0,1,0,1,0,0,0,6137
111,car,honda,jazz,petrol,2017,chennai,60000,60134,1,1,1,1,0,1,1,0,1,0,1,0,0,0,6099
112,car,honda,jazz,petrol,2017,chennai,60000,60427,1,1,1,1,0,1,1,0,1,0,1,0,0,0,6132
113,car,honda,jazz,petrol,2017,chennai,60000,60349,1,1,1,1,0,1,1,0,1,0,1,0,0,0,6487
114,car,honda,jazz,petrol,2017,chennai,60000,60374,1,1,1,1,0,1,1,0,1,0,1,0,0,0,6579
115,car,honda,jazz,petrol,2017,chennai,60000,60694,1,1,1,1,0,1,1,0,1,0,1,0,0,0,6693
116,car,honda,jazz,petrol,2017,chennai,60000,61379,1,1,1,1,0,1,0,0,1,0,1,0,0,0,6469
117,car,honda,jazz,petrol,2017,chennai,60000,59262,1,1,1,1,0,1,0,0,1,0,1,0,0,0,6367
118,car,honda,jazz,petrol,2017,chennai,60000,60347,1,1,1,1,0,1,0,0,1,0,1,0,0,0,6397
119,car,honda,jazz,petrol,2017,chennai,60000,61372,1,1,1,1,0,1,0,0,1,0,1,0,0,0,6495
120,car,honda,jazz,petrol,2017,chennai,60000,60437,1,1,1,1,0,1,0,0,1,0,1,0,0,0,6402
121,car,honda,jazz,petrol,2017,chennai,70000,70262,1,1,1,0,0,0,0,0,0,0,0,0,1,0,4633
122,car,honda,jazz,petrol,2017,chennai,70000,70373,1,1,1,0,0,0,0,0,0,0,0,0,1,0,4643
123,car,honda,jazz,petrol,2017,chennai,70000,70764,1,1,1,0,1,0,0,0,0,0,0,0,1,0,4532
124,car,honda,jazz,petrol,2017,chennai,70000,70384,1,1,1,0,1,0,0,0,0,0,1,0,1,0,4489
125,car,honda,jazz,petrol,2017,chennai,70000,70976,1,1,1,0,1,0,0,0,0,0,1,0,1,0,4578
126,car,honda,jazz,petrol,2017,chennai,70000,71253,1,1,1,0,1,0,0,0,0,0,1,0,1,0,4631
127,car,honda,jazz,petrol,2017,chennai,70000,70311,1,1,1,0,1,0,0,0,0,0,0,0,1,0,4639
128,car,honda,jazz,petrol,2017,chennai,70000,70789,1,1,1,0,1,0,0,0,0,0,0,0,1,0,4703
129,car,honda,jazz,petrol,2017,chennai,70000,70098,1,1,1,0,1,0,0,1,0,0,0,0,1,0,4539
130,car,honda,jazz,petrol,2017,chennai,70000,69432,1,1,1,0,1,0,0,1,0,0,0,0,1,0,4597
131,car,honda,jazz,petrol,2017,chennai,70000,70894,1,1,1,0,1,0,0,1,0,0,0,0,1,0,4583
132,car,honda,jazz,petrol,2017,chennai,70000,70753,1,1,1,0,0,0,0,1,0,0,0,0,1,0,4633
133,car,honda,jazz,petrol,2017,chennai,70000,70756,1,1,1,0,0,0,0,0,0,0,0,0,1,0,4643
134,car,honda,jazz,petrol,2017,chennai,70000,70890,1,1,1,0,0,0,0,0,1,0,0,0,1,0,4532
135,car,honda,jazz,petrol,2017,chennai,70000,70473,1,1,1,0,0,0,0,0,1,0,0,0,1,0,4489
136,car,honda,jazz,petrol,2017,chennai,70000,70985,1,1,1,0,0,1,0,0,1,0,0,0,1,0,4578
137,car,honda,jazz,petrol,2017,chennai,70000,70342,1,1,1,0,0,1,0,0,1,0,0,0,1,0,4631
138,car,honda,jazz,petrol,2017,chennai,70000,70033,1,1,1,0,0,1,0,0,0,0,0,0,1,0,4639
139,car,honda,jazz,petrol,2017,chennai,70000,70653,1,1,1,0,0,0,0,0,0,0,0,0,1,0,4703
140,car,honda,jazz,petrol,2017,chennai,70000,70373,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2789
141,car,honda,jazz,petrol,2017,chennai,80000,82238,1,1,1,0,0,0,1,1,0,0,0,0,0,0,4753
142,car,honda,jazz,petrol,2017,chennai,80000,89843,1,1,1,0,0,0,1,1,0,0,0,0,0,0,4790
143,car,honda,jazz,petrol,2017,chennai,80000,85834,1,1,1,0,0,0,1,1,0,0,0,0,0,0,4230
144,car,honda,jazz,petrol,2017,chennai,80000,88433,1,1,1,0,0,0,1,1,0,0,0,0,0,0,4875
145,car,honda,jazz,petrol,2017,chennai,80000,82363,1,1,1,0,0,0,1,1,0,0,0,0,0,0,4976
146,car,honda,jazz,petrol,2017,chennai,80000,83462,1,1,1,0,0,0,1,1,0,0,0,0,0,0,4679
147,car,honda,jazz,petrol,2017,chennai,80000,82346,1,1,1,0,0,0,1,1,0,0,0,0,0,0,4312
148,car,honda,jazz,petrol,2017,chennai,80000,89437,1,1,1,1,0,0,1,1,0,0,0,0,0,0,4068
149,car,honda,jazz,petrol,2017,chennai,80000,90327,1,1,1,1,0,0,1,1,0,0,0,0,0,0,5084
150,car,honda,jazz,petrol,2017,chennai,80000,82462,1,1,1,0,0,0,1,1,0,0,0,0,0,0,5866
151,car,honda,jazz,petrol,2017,chennai,80000,81482,1,1,1,0,0,0,1,1,0,0,0,0,0,0,5238
152,car,honda,jazz,petrol,2017,chennai,100000,122342,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3725
153,car,honda,jazz,petrol,2017,chennai,100000,102378,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3248
154,car,honda,jazz,petrol,2017,chennai,100000,113247,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3743
155,car,honda,jazz,petrol,2017,chennai,100000,137822,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3469
156,car,honda,jazz,petrol,2017,chennai,100000,129773,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3468
157,car,honda,jazz,petrol,2017,chennai,100000,90239,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3894
158,car,honda,jazz,petrol,2017,chennai,100000,94824,1,1,1,1,0,1,0,0,0,0,0,0,0,0,3725
159,car,honda,jazz,petrol,2017,chennai,100000,96348,1,1,1,1,0,1,1,0,0,0,0,0,0,0,3743
160,car,honda,jazz,petrol,2017,chennai,100000,94378,1,1,1,1,0,1,0,0,0,0,0,0,0,0,3804
161,car,honda,jazz,petrol,2017,chennai,100000,99947,1,1,1,1,0,1,0,0,0,0,0,0,0,0,3479
162,car,honda,amaze,diesel,2016,mumbai,10000,10021,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2798
163,car,honda,amaze,diesel,2016,mumbai,10000,10005,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2680
164,car,honda,amaze,diesel,2016,mumbai,10000,9980,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2750
165,car,honda,amaze,diesel,2016,mumbai,10000,10100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2700
166,car,honda,amaze,diesel,2016,mumbai,10000,11004,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2800
167,car,honda,amaze,diesel,2016,mumbai,10000,10078,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2500
168,car,honda,amaze,diesel,2016,mumbai,10000,12001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2750
169,car,honda,amaze,diesel,2016,mumbai,10000,10003,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2700
170,car,honda,amaze,diesel,2016,mumbai,10000,9800,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2702
171,car,honda,amaze,diesel,2016,mumbai,10000,10302,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2720
172,car,honda,amaze,diesel,2016,mumbai,10000,10288,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2800
173,car,honda,amaze,diesel,2016,mumbai,10000,10003,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2770
174,car,honda,amaze,diesel,2016,mumbai,10000,10200,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3300
175,car,honda,amaze,diesel,2016,mumbai,10000,10123,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3450
176,car,honda,amaze,diesel,2016,mumbai,10000,9992,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3250
177,car,honda,amaze,diesel,2016,mumbai,10000,10675,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3500
178,car,honda,amaze,diesel,2016,mumbai,10000,13987,1,1,1,0,0,0,0,0,0,0,0,0,0,0,6500
179,car,honda,amaze,diesel,2016,mumbai,10000,14567,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5500
180,car,honda,amaze,diesel,2016,mumbai,10000,11002,1,1,1,0,0,0,0,0,0,0,0,0,0,0,7000
181,car,honda,amaze,diesel,2016,mumbai,10000,12347,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5500
182,car,honda,amaze,diesel,2016,mumbai,20000,20003,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5300
183,car,honda,amaze,diesel,2016,mumbai,20000,17890,1,1,1,0,1,1,1,0,0,0,0,0,0,0,5500
184,car,honda,amaze,diesel,2016,mumbai,20000,23000,1,1,1,0,1,1,1,0,0,0,0,0,0,0,5200
185,car,honda,amaze,diesel,2016,mumbai,20000,21000,1,1,1,0,1,1,1,0,0,0,0,0,0,0,5350
186,car,honda,amaze,diesel,2016,mumbai,20000,18907,1,1,1,0,1,1,1,0,0,0,0,0,0,0,5400
187,car,honda,amaze,diesel,2016,mumbai,20000,21000,1,1,1,0,1,1,1,0,0,0,0,0,0,0,5500
188,car,honda,amaze,diesel,2016,mumbai,20000,19009,1,1,1,0,1,1,1,0,0,0,0,0,0,0,5500
189,car,honda,amaze,diesel,2016,mumbai,20000,19998,1,1,1,0,1,1,1,0,0,0,0,0,0,0,5300
